Species,UCEN Restoration Site (RS),Northern Eucs- above road (NE),NE Road Margin (RM),Commencement Green (CG),North Margin Zone General,North Margin Zone Summary,West Lagoon Proper (LW),Mid Lagoon Proper (LM),East Lagoon Proper (LE),Lagoon Proper General,Lagoon Zone Summary,Zone 3- below road (Z3) ,Zone 2- above road (Z2) ,Zone 1 (Z1) ,Oak Grove/Basin 6 (OG),West Lagoon Park General,West Lagoon Park Summary,West Depressions (WD),East Depressions (ED),Beach (BE),South Beach Zone General,South Beach Zone Summary,Quarry Enhancement Site (QE),Lagoon Island South (IS),Lagoon Island North (IN),Lagoon Island Zone General,Lagoon Island Zone Summary,CP Mesa Top (CP),CP Wetland Edge (WE),CP Outcrop (OC),Campus Point Zone General,Campus Point Zone Summary,Beach Side (BS),Lagoon Side (LS),Pearl Chase Garden (PC),East Margin Zone General,East Margin Zone Summary,Lagoo Management Non-specific,Fieldnote Summary #'s,Lagoon Management Area Totals,Songs/Males Counted,Females Counted,Juveniles Counted,Species Notes,Breeding Evidence Yes or Blank,Presences Only (Yes or Blank),Day,Month,Year,month num,Date,seasonnum,Time Start, Time End,Temp Start (F),Wind Start (0-3),Wind Direction Start,Cloud Cover % Start,Cloud Height Start,Rain (0-5) Start,Temp End (F),Wind End (0-3),Wind Direction End,Cloud Cover % End,Cloud Height End,Rain End (0-5), Weather Note,  Nearest Tide Time, Nearest Tide Height (ft), Nearest Tide High/Low?,Observer,Survey Coverage Notes,(1-Single   2-Partial Survey   3-Complete Survey   4-Roost Survey  5-Nest Search),Taxinomic #
White-tailed Kite,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,110
Peregrine Falcon,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,128
Wandering Tattler,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,2,,2,,,,,0,,,2,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,155
Black Turnstone,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,3,,3,,,,,0,,,3,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,163
Least Sandpiper,3,,,,,3,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,170
Ring-billed Gull,,,,,,0,,,,6,6,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,6,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,196
Dowitcher sp.,3,,,,,3,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,3,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,#N/A
Mallard,,,,,,0,,,,4,4,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,16
Redhead,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,25
Ruddy Duck,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,41
