species,lagoon_island_zone_summary,year,date,month
White-tailed Kite,1,1996,1996-09-30,Sep
Peregrine Falcon,1,1996,1996-09-30,Sep
Wandering Tattler,0,1996,1996-09-30,Sep
Black Turnstone,0,1996,1996-09-30,Sep
Least Sandpiper,0,1996,1996-09-30,Sep
Ring-billed Gull,0,1996,1996-09-30,Sep
Dowitcher sp.,0,1996,1996-09-30,Sep
Mallard,0,1996,1996-10-29,Oct
Redhead,0,1996,1996-10-29,Oct
Ruddy Duck,0,1996,1996-10-29,Oct
Pied-billed Grebe,0,1996,1996-10-29,Oct
Brown Pelican,0,1996,1996-10-29,Oct
Double-crested Cormorant,0,1996,1996-10-29,Oct
Great Blue Heron,0,1996,1996-10-29,Oct
Great Egret,0,1996,1996-10-29,Oct
Snowy Egret,0,1996,1996-10-29,Oct
Black-crowned Night Heron,0,1996,1996-10-29,Oct
Red-shouldered Hawk,1,1996,1996-10-29,Oct
American Coot,0,1996,1996-10-29,Oct
Long-billed Dowitcher,0,1996,1996-10-29,Oct
Parasitic Jaeger,0,1996,1996-10-29,Oct
Bonaparte's Gull,0,1996,1996-10-29,Oct
Western Gull,0,1996,1996-10-29,Oct
Common Tern,0,1996,1996-10-29,Oct
Forster's Tern,0,1996,1996-10-29,Oct
Anna's Hummingbird,1,1996,1996-10-29,Oct
Belted Kingfisher,2,1996,1996-10-29,Oct
Downy Woodpecker,2,1996,1996-10-29,Oct
Black Phoebe,2,1996,1996-10-29,Oct
Tropical Kingbird,1,1996,1996-10-29,Oct
American Crow,6,1996,1996-10-29,Oct
Bushtit,1,1996,1996-10-29,Oct
Bewick's Wren,1,1996,1996-10-29,Oct
California Towhee,3,1996,1996-10-29,Oct
White-crowned Sparrow,4,1996,1996-10-29,Oct
Golden-crowned Sparrow,3,1996,1996-10-29,Oct
House Finch,10,1996,1996-10-29,Oct
American Wigeon,0,1996,1996-11-15,Nov
Mallard,0,1996,1996-11-15,Nov
Ring-necked Duck,0,1996,1996-11-15,Nov
Lesser Scaup,0,1996,1996-11-15,Nov
Red-breasted Merganser,0,1996,1996-11-15,Nov
Red-breasted Merganser,0,1996,1996-11-15,Nov
Pied-billed Grebe,0,1996,1996-11-15,Nov
Horned Grebe,0,1996,1996-11-15,Nov
Eared Grebe,0,1996,1996-11-15,Nov
Western Grebe,0,1996,1996-11-15,Nov
Brown Pelican,0,1996,1996-11-15,Nov
Double-crested Cormorant,0,1996,1996-11-15,Nov
Great Blue Heron,0,1996,1996-11-15,Nov
Great Egret,0,1996,1996-11-15,Nov
Snowy Egret,0,1996,1996-11-15,Nov
Green Heron,0,1996,1996-11-15,Nov
Black-crowned Night Heron,0,1996,1996-11-15,Nov
White-faced Ibis,0,1996,1996-11-15,Nov
Red-shouldered Hawk,0,1996,1996-11-15,Nov
American Kestrel,0,1996,1996-11-15,Nov
American Coot,0,1996,1996-11-15,Nov
Black-bellied Plover,0,1996,1996-11-15,Nov
Killdeer,0,1996,1996-11-15,Nov
Greater Yellowlegs,0,1996,1996-11-15,Nov
Willet,0,1996,1996-11-15,Nov
Sanderling,0,1996,1996-11-15,Nov
Long-billed Dowitcher,0,1996,1996-11-15,Nov
Bonaparte's Gull,0,1996,1996-11-15,Nov
Ring-billed Gull,0,1996,1996-11-15,Nov
California Gull,0,1996,1996-11-15,Nov
Western Gull,0,1996,1996-11-15,Nov
Forster's Tern,0,1996,1996-11-15,Nov
Anna's Hummingbird,3,1996,1996-11-15,Nov
Belted Kingfisher,1,1996,1996-11-15,Nov
Downy Woodpecker,1,1996,1996-11-15,Nov
Black Phoebe,6,1996,1996-11-15,Nov
Say's Phoebe,1,1996,1996-11-15,Nov
Loggerhead Shrike,1,1996,1996-11-15,Nov
Western Scrub-Jay,1,1996,1996-11-15,Nov
American Crow,5,1996,1996-11-15,Nov
Bushtit,13,1996,1996-11-15,Nov
Bewick's Wren,1,1996,1996-11-15,Nov
House Wren,0,1996,1996-11-15,Nov
Ruby-crowned Kinglet,1,1996,1996-11-15,Nov
Hermit Thrush,0,1996,1996-11-15,Nov
Northern Mockingbird,1,1996,1996-11-15,Nov
Yellow-rumped Warbler,12,1996,1996-11-15,Nov
Townsend's Warbler,0,1996,1996-11-15,Nov
Common Yellowthroat,1,1996,1996-11-15,Nov
California Towhee,2,1996,1996-11-15,Nov
Song Sparrow,2,1996,1996-11-15,Nov
White-crowned Sparrow,6,1996,1996-11-15,Nov
House Finch,17,1996,1996-11-15,Nov
Gadwall,0,1996,1996-12-31,Dec
American Wigeon,0,1996,1996-12-31,Dec
Mallard,0,1996,1996-12-31,Dec
Ring-necked Duck,0,1996,1996-12-31,Dec
Bufflehead,0,1996,1996-12-31,Dec
Red-breasted Merganser,0,1996,1996-12-31,Dec
Ruddy Duck,0,1996,1996-12-31,Dec
Pacific Loon,0,1996,1996-12-31,Dec
Pied-billed Grebe,0,1996,1996-12-31,Dec
Horned Grebe,0,1996,1996-12-31,Dec
Eared Grebe,0,1996,1996-12-31,Dec
Western Grebe,0,1996,1996-12-31,Dec
Clark's Grebe,0,1996,1996-12-31,Dec
Brown Pelican,0,1996,1996-12-31,Dec
Brown Pelican,0,1996,1996-12-31,Dec
Double-crested Cormorant,0,1996,1996-12-31,Dec
Great Blue Heron,0,1996,1996-12-31,Dec
Great Egret,0,1996,1996-12-31,Dec
Snowy Egret,0,1996,1996-12-31,Dec
Green Heron,0,1996,1996-12-31,Dec
Black-crowned Night Heron,10,1996,1996-12-31,Dec
Red-tailed Hawk,2,1996,1996-12-31,Dec
American Kestrel,1,1996,1996-12-31,Dec
American Coot,0,1996,1996-12-31,Dec
Killdeer,0,1996,1996-12-31,Dec
Greater Yellowlegs,0,1996,1996-12-31,Dec
Long-billed Dowitcher,0,1996,1996-12-31,Dec
Bonaparte's Gull,0,1996,1996-12-31,Dec
Heermann's Gull,0,1996,1996-12-31,Dec
Ring-billed Gull,0,1996,1996-12-31,Dec
California Gull,0,1996,1996-12-31,Dec
Western Gull,0,1996,1996-12-31,Dec
Forster's Tern,0,1996,1996-12-31,Dec
Rock Dove,0,1996,1996-12-31,Dec
Anna's Hummingbird,0,1996,1996-12-31,Dec
Belted Kingfisher,0,1996,1996-12-31,Dec
Black Phoebe,5,1996,1996-12-31,Dec
Say's Phoebe,2,1996,1996-12-31,Dec
Loggerhead Shrike,1,1996,1996-12-31,Dec
Western Scrub-Jay,2,1996,1996-12-31,Dec
American Crow,29,1996,1996-12-31,Dec
Bushtit,10,1996,1996-12-31,Dec
Bewick's Wren,4,1996,1996-12-31,Dec
House Wren,1,1996,1996-12-31,Dec
Ruby-crowned Kinglet,4,1996,1996-12-31,Dec
Hermit Thrush,1,1996,1996-12-31,Dec
Northern Mockingbird,2,1996,1996-12-31,Dec
American Pipit,2,1996,1996-12-31,Dec
Orange-crowned Warbler,4,1996,1996-12-31,Dec
Yellow Warbler,45,1996,1996-12-31,Dec
Common Yellowthroat,2,1996,1996-12-31,Dec
Spotted Towhee,1,1996,1996-12-31,Dec
California Towhee,5,1996,1996-12-31,Dec
Fox Sparrow,3,1996,1996-12-31,Dec
Song Sparrow,7,1996,1996-12-31,Dec
Lincoln's Sparrow,1,1996,1996-12-31,Dec
White-crowned Sparrow,4,1996,1996-12-31,Dec
Golden-crowned Sparrow,23,1996,1996-12-31,Dec
Baltimore Oriole,1,1996,1996-12-31,Dec
House Finch,40,1996,1996-12-31,Dec
American Wigeon,0,1997,1997-01-24,Jan
Mallard,0,1997,1997-01-24,Jan
Redhead,0,1997,1997-01-24,Jan
Ring-necked Duck,0,1997,1997-01-24,Jan
Lesser Scaup,0,1997,1997-01-24,Jan
Red-breasted Merganser,0,1997,1997-01-24,Jan
Red-breasted Merganser,1,1997,1997-01-24,Jan
Ruddy Duck,0,1997,1997-01-24,Jan
Pied-billed Grebe,0,1997,1997-01-24,Jan
Pied-billed Grebe,0,1997,1997-01-24,Jan
Horned Grebe,0,1997,1997-01-24,Jan
Eared Grebe,0,1997,1997-01-24,Jan
Western Grebe,0,1997,1997-01-24,Jan
Clark's Grebe,0,1997,1997-01-24,Jan
Brown Pelican,0,1997,1997-01-24,Jan
Double-crested Cormorant,3,1997,1997-01-24,Jan
Great Blue Heron,3,1997,1997-01-24,Jan
Great Egret,1,1997,1997-01-24,Jan
Snowy Egret,0,1997,1997-01-24,Jan
Green Heron,0,1997,1997-01-24,Jan
Black-crowned Night Heron,1,1997,1997-01-24,Jan
White-faced Ibis,0,1997,1997-01-24,Jan
Sharp-shinned Hawk,1,1997,1997-01-24,Jan
Red-shouldered Hawk,0,1997,1997-01-24,Jan
Red-tailed Hawk,0,1997,1997-01-24,Jan
American Kestrel,1,1997,1997-01-24,Jan
American Coot,0,1997,1997-01-24,Jan
Black-bellied Plover,0,1997,1997-01-24,Jan
Killdeer,0,1997,1997-01-24,Jan
Willet,0,1997,1997-01-24,Jan
Sanderling,33,1997,1997-01-24,Jan
Ring-billed Gull,0,1997,1997-01-24,Jan
California Gull,0,1997,1997-01-24,Jan
Western Gull,0,1997,1997-01-24,Jan
Forster's Tern,0,1997,1997-01-24,Jan
Anna's Hummingbird,6,1997,1997-01-24,Jan
Belted Kingfisher,0,1997,1997-01-24,Jan
Downy Woodpecker,1,1997,1997-01-24,Jan
Black Phoebe,3,1997,1997-01-24,Jan
Say's Phoebe,1,1997,1997-01-24,Jan
Loggerhead Shrike,1,1997,1997-01-24,Jan
Western Scrub-Jay,1,1997,1997-01-24,Jan
American Crow,23,1997,1997-01-24,Jan
Bushtit,10,1997,1997-01-24,Jan
Bewick's Wren,4,1997,1997-01-24,Jan
Northern Mockingbird,2,1997,1997-01-24,Jan
Yellow-rumped Warbler,9,1997,1997-01-24,Jan
Common Yellowthroat,1,1997,1997-01-24,Jan
California Towhee,6,1997,1997-01-24,Jan
Song Sparrow,17,1997,1997-01-24,Jan
White-crowned Sparrow,19,1997,1997-01-24,Jan
House Finch,7,1997,1997-01-24,Jan
Black-bellied Plover,0,1997,1997-04-25,Apr
Semipalmated Plover,0,1997,1997-04-25,Apr
Whimbrel,0,1997,1997-04-25,Apr
Western Sandpiper,0,1997,1997-04-25,Apr
Least Sandpiper,0,1997,1997-04-25,Apr
Dunlin,0,1997,1997-04-25,Apr
Short-eared Owl,0,1997,1997-04-25,Apr
Brown Pelican,0,1997,1997-09-13,Sep
Black-bellied Plover,0,1997,1997-09-13,Sep
Greater Yellowlegs,0,1997,1997-09-13,Sep
Whimbrel,0,1997,1997-09-13,Sep
Royal Tern,0,1997,1997-09-13,Sep
Elegant Tern,0,1997,1997-09-13,Sep
Common Tern,0,1997,1997-09-13,Sep
Forster's Tern,0,1997,1997-09-13,Sep
Belted Kingfisher,0,1997,1997-09-13,Sep
Beldingês Savannah Sparrow,0,1997,1997-09-13,Sep
Willet,0,1997,1997-09-13,Sep
Mallard,0,1997,1997-10-08,Oct
Ruddy Duck,0,1997,1997-10-08,Oct
Pied-billed Grebe,0,1997,1997-10-08,Oct
Eared Grebe,0,1997,1997-10-08,Oct
Brown Pelican,1,1997,1997-10-08,Oct
Double-crested Cormorant,36,1997,1997-10-08,Oct
Great Blue Heron,0,1997,1997-10-08,Oct
Great Egret,6,1997,1997-10-08,Oct
Snowy Egret,2,1997,1997-10-08,Oct
Black-crowned Night Heron,3,1997,1997-10-08,Oct
American Coot,0,1997,1997-10-08,Oct
Killdeer,0,1997,1997-10-08,Oct
Greater Yellowlegs,0,1997,1997-10-08,Oct
Willet,0,1997,1997-10-08,Oct
Sanderling,0,1997,1997-10-08,Oct
Dunlin,0,1997,1997-10-08,Oct
Red-necked Phalarope,0,1997,1997-10-08,Oct
Heermann's Gull,0,1997,1997-10-08,Oct
Ring-billed Gull,0,1997,1997-10-08,Oct
California Gull,0,1997,1997-10-08,Oct
Western Gull,2,1997,1997-10-08,Oct
Elegant Tern,0,1997,1997-10-08,Oct
Common Tern,0,1997,1997-10-08,Oct
Forster's Tern,0,1997,1997-10-08,Oct
Mourning Dove,1,1997,1997-10-08,Oct
Anna's Hummingbird,6,1997,1997-10-08,Oct
Belted Kingfisher,2,1997,1997-10-08,Oct
Black Phoebe,2,1997,1997-10-08,Oct
Say's Phoebe,1,1997,1997-10-08,Oct
Loggerhead Shrike,2,1997,1997-10-08,Oct
American Crow,9,1997,1997-10-08,Oct
Violet-green Swallow,0,1997,1997-10-08,Oct
Bewick's Wren,0,1997,1997-10-08,Oct
Northern Mockingbird,2,1997,1997-10-08,Oct
Orange-crowned Warbler,1,1997,1997-10-08,Oct
Yellow-rumped Warbler,15,1997,1997-10-08,Oct
Common Yellowthroat,4,1997,1997-10-08,Oct
California Towhee,1,1997,1997-10-08,Oct
Beldingês Savannah Sparrow,0,1997,1997-10-08,Oct
Song Sparrow,0,1997,1997-10-08,Oct
Lincoln's Sparrow,2,1997,1997-10-08,Oct
White-crowned Sparrow,12,1997,1997-10-08,Oct
Western Meadowlark,0,1997,1997-10-08,Oct
House Finch,115,1997,1997-10-08,Oct
Lesser Goldfinch,3,1997,1997-10-08,Oct
American Wigeon,0,1997,1997-12-19,Dec
Mallard,0,1997,1997-12-19,Dec
Redhead,0,1997,1997-12-19,Dec
Lesser Scaup,0,1997,1997-12-19,Dec
Bufflehead,0,1997,1997-12-19,Dec
Red-breasted Merganser,0,1997,1997-12-19,Dec
