species,lagoon_island_zone_summary,year,date,month
Song Sparrow,2,1996,1996-11-15,Nov
Song Sparrow,7,1996,1996-12-31,Dec
Song Sparrow,17,1997,1997-01-24,Jan
Song Sparrow,0,1997,1997-10-08,Oct
Song Sparrow,4,1997,1997-12-19,Dec
Song Sparrow,16,1998,1998-03-13,Mar
Song Sparrow,1,1998,1998-06-30,Jun
Song Sparrow,2,1998,1998-09-28,Sep
Song Sparrow,0,1999,1999-02-25,Feb
Song Sparrow,6,1999,1999-03-05,Mar
Song Sparrow,7,1999,1999-04-27,Apr
Song Sparrow,0,1999,1999-07-31,Jul
Song Sparrow,5,2000,2000-01-07,Jan
Song Sparrow,1,2000,2000-12-15,Dec
Song Sparrow,29,2001,2001-01-25,Jan
Song Sparrow,7,2001,2001-02-28,Feb
Song Sparrow,19,2001,2001-05-01,May
Song Sparrow,7,2001,2001-07-16,Jul
Song Sparrow,1,2001,2001-08-20,Aug
Song Sparrow,4,2001,2001-09-25,Sep
Song Sparrow,2,2001,2001-12-19,Dec
Song Sparrow,28,2002,2002-01-31,Jan
Song Sparrow,11,2002,2002-03-20,Mar
Song Sparrow,5,2002,2002-04-24,Apr
Song Sparrow,15,2002,2002-06-01,Jun
Song Sparrow,5,2002,2002-07-03,Jul
Song Sparrow,9,2002,2002-08-07,Aug
Song Sparrow,10,2002,2002-09-13,Sep
Song Sparrow,1,2002,2002-10-31,Oct
Song Sparrow,3,2002,2002-12-05,Dec
Song Sparrow,6,2003,2003-01-15,Jan
Song Sparrow,11,2003,2003-03-18,Mar
Song Sparrow,21,2003,2003-04-16,Apr
Song Sparrow,6,2003,2003-06-24,Jun
Song Sparrow,4,2003,2003-07-22,Jul
Song Sparrow,2,2003,2003-08-25,Aug
Song Sparrow,1,2003,2003-09-30,Sep
Song Sparrow,0,2003,2003-10-30,Oct
Song Sparrow,2,2003,2003-11-19,Nov
Song Sparrow,4,2003,2003-12-31,Dec
Song Sparrow,0,2004,2004-01-27,Jan
Song Sparrow,4,2004,2004-02-24,Feb
Song Sparrow,0,2004,2004-03-23,Mar
Song Sparrow,7,2004,2004-04-22,Apr
Song Sparrow,1,2004,2004-05-28,May
Song Sparrow,0,2004,2004-06-24,Jun
Song Sparrow,0,2004,2004-07-22,Jul
Song Sparrow,0,2004,2004-08-24,Aug
Song Sparrow,1,2004,2004-10-25,Oct
Song Sparrow,0,2004,2004-11-23,Nov
Song Sparrow,2,2005,2005-01-14,Jan
Song Sparrow,8,2006,2006-04-12,Apr
Song Sparrow,10,2006,2006-05-17,May
Song Sparrow,3,2006,2006-06-19,Jun
Song Sparrow,6,2006,2006-07-20,Jul
Song Sparrow,4,2006,2006-08-09,Aug
Song Sparrow,1,2006,2006-09-18,Sep
Song Sparrow,8,2006,2006-10-24,Oct
Song Sparrow,1,2006,2006-11-09,Nov
Song Sparrow,11,2006,2006-11-29,Nov
Song Sparrow,0,2006,2006-12-20,Dec
Song Sparrow,2,2007,2007-01-10,Jan
Song Sparrow,0,2007,2007-02-13,Feb
Song Sparrow,7,2007,2007-03-15,Mar
Song Sparrow,11,2007,2007-04-13,Apr
Song Sparrow,11,2007,2007-05-15,May
Song Sparrow,0,2007,2007-06-21,Jun
Song Sparrow,7,2007,2007-07-25,Jul
Song Sparrow,1,2007,2007-08-23,Aug
Song Sparrow,2,2007,2007-09-20,Sep
Song Sparrow,0,2007,2007-10-23,Oct
Song Sparrow,3,2007,2007-11-15,Nov
Song Sparrow,3,2007,2007-12-19,Dec
Song Sparrow,1,2008,2008-01-11,Jan
Song Sparrow,5,2008,2008-02-21,Feb
Song Sparrow,5,2008,2008-03-13,Mar
Song Sparrow,9,2008,2008-04-11,Apr
Song Sparrow,13,2008,2008-05-14,May
Song Sparrow,15,2008,2008-06-12,Jun
Song Sparrow,3,2008,2008-07-15,Jul
